id,acquiree_name,patent_id,patent_priority_year,inventor_id,inventor_name1,inventor_add_city,inventor_add_state,inventor_add_country,inventor_add_lat,inventor_add_lon,TEMP,acquiree_country_code,acquiree_state,acquiree_region,acquiree_city
000607fc-cea0-535c-6324-e83ba07c8cc7,biovigilant systems,7053783,2002,4161522-1,"Hamburger, Robert N.",San Diego,CA,US,32.7153,-117.1564,1,USA,AZ,Tucson,Tucson
000607fc-cea0-535c-6324-e83ba07c8cc7,biovigilant systems,7053783,2002,7053783-2,"Jiang, Jian-Ping",Tucson,AZ,US,32.2217,-110.9258,1,USA,AZ,Tucson,Tucson
000607fc-cea0-535c-6324-e83ba07c8cc7,biovigilant systems,7430046,2005,6459486-2,"Morrell, Michael M.",Tucson,AZ,US,32.2217,-110.9258,1,USA,AZ,Tucson,Tucson
000607fc-cea0-535c-6324-e83ba07c8cc7,biovigilant systems,7430046,2005,7053783-2,"Jiang, Jian-Ping",Tucson,AZ,US,32.2217,-110.9258,1,USA,AZ,Tucson,Tucson
000607fc-cea0-535c-6324-e83ba07c8cc7,biovigilant systems,7430046,2005,7430046-2,"Babico, John Y.",Oro Valley,AZ,US,32.3908,-110.9658,1,USA,AZ,Tucson,Tucson
000607fc-cea0-535c-6324-e83ba07c8cc7,biovigilant systems,7738099,2006,6459486-2,"Morrell, Michael M.",Tucson,AZ,US,32.2217,-110.9258,1,USA,AZ,Tucson,Tucson
000607fc-cea0-535c-6324-e83ba07c8cc7,biovigilant systems,7738099,2006,7053783-2,"Jiang, Jian-Ping",Tucson,AZ,US,32.2217,-110.9258,1,USA,AZ,Tucson,Tucson
000607fc-cea0-535c-6324-e83ba07c8cc7,biovigilant systems,8218144,2008,6459486-2,"Morrell, Michael M.",Tucson,AZ,US,32.2217,-110.9258,1,USA,AZ,Tucson,Tucson
000607fc-cea0-535c-6324-e83ba07c8cc7,biovigilant systems,8218144,2008,7053783-2,"Jiang, Jian-Ping",Tucson,AZ,US,32.2217,-110.9258,1,USA,AZ,Tucson,Tucson
000607fc-cea0-535c-6324-e83ba07c8cc7,biovigilant systems,8218144,2008,7430046-2,"Babico, John Y.",Oro Valley,AZ,US,32.3908,-110.9658,1,USA,AZ,Tucson,Tucson
0025a95c-1fb2-4168-936a-a2b0c73b4260,"northwest research, inc.",6322871,1998,5624626-1,"Walz, Thomas J.",Tacoma,WA,US,47.2531,-122.4431,1,USA,UT,Salt Lake City,Salt Lake City
0025a95c-1fb2-4168-936a-a2b0c73b4260,"northwest research, inc.",6322871,1998,5624626-2,"Rossovsky, Issak S.",Edmonds,WA,US,47.8108,-122.3761,1,USA,UT,Salt Lake City,Salt Lake City
0025a95c-1fb2-4168-936a-a2b0c73b4260,"northwest research, inc.",8646810,2012,8317230-1,"Asay, Jon L.",Fruit Heights,UT,US,41.0322,-111.9014,1,USA,UT,Salt Lake City,Salt Lake City
0025a95c-1fb2-4168-936a-a2b0c73b4260,"northwest research, inc.",9207774,2013,8317230-1,"Asay, Jon L.",Fruit Heights,UT,US,41.0322,-111.9014,1,USA,UT,Salt Lake City,Salt Lake City
002a865a-d42d-49db-ad53-4d0e9e4e96aa,future route,7885915,2006,7885915-1,"Parson, Rupert G.",London,NULL,GB,51.5112,-0.1198,1,GBR,,London,London
002a865a-d42d-49db-ad53-4d0e9e4e96aa,future route,7885915,2006,7885915-2,"Andersson, John G.",Brighton,NULL,GB,50.8333,-0.15,1,GBR,,London,London
002a865a-d42d-49db-ad53-4d0e9e4e96aa,future route,7885915,2006,7885915-3,"Ball, Timothy",Tunbridge Wells,NULL,GB,51.1333,0.2833,1,GBR,,London,London
002a865a-d42d-49db-ad53-4d0e9e4e96aa,future route,7885915,2006,7885915-4,"Khatib, Wael",Tunbridge Wells,NULL,GB,51.1333,0.2833,1,GBR,,London,London
002a865a-d42d-49db-ad53-4d0e9e4e96aa,future route,7885915,2006,7885915-5,"Tschorn, Patrick Rene",Tunbridge Wells,NULL,GB,51.1333,0.2833,1,GBR,,London,London
002a865a-d42d-49db-ad53-4d0e9e4e96aa,future route,7885915,2006,7885915-6,"Muggleton, Stephen Howard",London,NULL,GB,51.5112,-0.1198,1,GBR,,London,London
002a865a-d42d-49db-ad53-4d0e9e4e96aa,future route,8359329,2008,7885915-1,"Parson, Rupert G.",London,NULL,GB,51.5112,-0.1198,1,GBR,,London,London
002a865a-d42d-49db-ad53-4d0e9e4e96aa,future route,9031873,2008,6854035-2,"Dunn, Andrew Eric",Reading,NULL,GB,51.4485,-0.9936,1,GBR,,London,London
002a865a-d42d-49db-ad53-4d0e9e4e96aa,future route,9031873,2008,7885915-1,"Parson, Rupert G.",London,NULL,GB,51.5112,-0.1198,1,GBR,,London,London
002a865a-d42d-49db-ad53-4d0e9e4e96aa,future route,9031873,2008,9031873-2,"Shuttlewood, Andrew",Sevenoaks,NULL,GB,51.2667,0.2,1,GBR,,London,London
002a865a-d42d-49db-ad53-4d0e9e4e96aa,future route,9031873,2008,9031873-4,"Hambrook, Alan",Bagnols en For̻t,NULL,FR,45.4993,2.6325,1,GBR,,London,London
002e7723-ca64-a785-590c-198524743de5,raven biotechnologies,6416999,2000,5102868-2,"Mather, Jennie P.",Millbrae,CA,US,37.5986,-122.3861,1,USA,CA,SF Bay Area,South San Francisco
002e7723-ca64-a785-590c-198524743de5,raven biotechnologies,6416999,2000,5714385-2,"Li, Ronghao",LaJolla,CA,US,32.8328,-117.2713,1,USA,CA,SF Bay Area,South San Francisco
002e7723-ca64-a785-590c-198524743de5,raven biotechnologies,6436704,2000,5102868-2,"Mather, Jennie P.",Millbrae,CA,US,37.5986,-122.3861,1,USA,CA,SF Bay Area,South San Francisco
002e7723-ca64-a785-590c-198524743de5,raven biotechnologies,6436704,2000,5364785-2,"Roberts, Penelope E.",Millbrae,CA,US,37.5986,-122.3861,1,USA,CA,SF Bay Area,South San Francisco
002e7723-ca64-a785-590c-198524743de5,raven biotechnologies,6541225,2000,5714385-2,"Li, Ronghao",La Jolla,CA,US,32.8472,-117.2733,1,USA,CA,SF Bay Area,South San Francisco
