company	id	M1_num_clusters	M2_num_clusters	M1_num_remote_clusters	M2_num_remote_clusters	M1_HQ_state	M1_HQ_country	M1_HQ_coordinates	M2_HQ_state	M2_HQ_country	M2_HQ_coordinates	HQ1-HQ2_distance	average_cluster_distance	median_cluster_distance	sd	pairs
motorola solutions	d65bcbfb-b94e-e848-a953-bcd89ab7de00	20	20	19	19	IL	US	(42.1181, -88.0961)	IL	US	(42.1181, -88.0961)	0.0	0.0	0.0	0.0	((42.1181, -88.0961)-('42.1181', '-88.0961')); ((28.5381, -81.3794)-('28.5381', '-81.3794')); ((42.0278, -71.5814)-('42.0278', '-71.5814')); ((30.2669, -97.7428)-('30.2669', '-97.7428')); ((33.9525, -84.55)-('33.9525', '-84.55')); ((33.4222, -111.8219)-('33.4222', '-111.8219')); ((32.7153, -117.1564)-('32.7153', '-117.1564')); ((40.3333, -74.6008)-('40.3333', '-74.6008')); ((-34.0833, 151.0167)-('-34.0833', '151.0167')); ((12.3072, 76.6497)-('12.3072', '76.6497')); ((26.1336, -80.1133)-('26.1336', '-80.1133')); ((37.5586, -122.27)-('37.5586', '-122.27')); ((33.4708, -81.975)-('33.4708', '-81.975')); ((44.8547, -93.4706)-('44.8547', '-93.4706')); ((42.8483, -75.8547)-('42.8483', '-75.8547')); ((39.9611, -82.9989)-('39.9611', '-82.9989')); ((32.9342, -97.0778)-('32.9342', '-97.0778')); ((-33.0667, 117.25)-('-33.0667', '117.25')); ((8.1833, 77.4119)-('8.1833', '77.4119')); ((39.3667, 22.9458)-('39.3667', '22.9458'))
vmware	fb1e0239-94df-a94c-56d9-28956a629ed9	6	6	5	5	CA	US	(37.4419, -122.1419)	MA	US	(42.375, -71.1061)	4321.956524162094	0.0	0.0	0.0	((37.4419, -122.1419)-('37.4419', '-122.1419')); ((39.9042, 116.4074)-('39.9042', '116.4074')); ((42.375, -71.1061)-('42.375', '-71.1061')); ((12.9833, 77.5833)-('12.9833', '77.5833')); ((32.8739, -83.6257)-('32.8739', '-83.6257')); ((32.8156, 34.9892)-('32.8156', '34.9892'))
elster group	481edf62-4dea-e904-0c40-25ad69c88b8e	1	1	0	0	NC	US	(35.8242, -78.315)	NC	US	(35.8242, -78.315)	0.0	0.0	0.0	N/A	((35.8242, -78.315)-('35.8242', '-78.315'))
adidas	eec354de-1ed2-254d-647b-f218643791d9	2	2	1	1	MA	US	(42.1583, -71.1453)	MA	US	(42.1583, -71.1453)	0.0	0.0	0.0	N/A	((42.1583, -71.1453)-('42.1583', '-71.1453')); ((45.9062, 6.1267)-('45.9062', '6.1267'))
bain capital	76c64c78-7066-f7ab-72e8-3ba282be0a06	6	6	5	5	MA	US	(42.3514, -72.7)	MA	US	(42.3514, -72.7)	0.0	0.0	0.0	0.0	((42.3514, -72.7)-('42.3514', '-72.7')); ((47.7575, -122.2428)-('47.7575', '-122.2428')); ((44.8408, -93.2981)-('44.8408', '-93.2981')); ((34.9378, -82.1453)-('34.9378', '-82.1453')); ((37.4449, 127.1389)-('37.4449', '127.1389')); ((35.4437, 139.638)-('35.4437', '139.638'))
wmf group	7cf3e9f8-0a57-febe-bb9e-de451af5cc5e	1	1	0	0		DE	(48.6333, 9.8)		DE	(48.6333, 9.8)	0.0	0.0	0.0	N/A	((48.6333, 9.8)-('48.6333', '9.8'))
idexx laboratories	57b6bd82-07d1-50be-da2a-45fabbe98fb8	2	2	1	1	CA	US	(37.3853, -122.1131)	CA	US	(37.3853, -122.1131)	0.0	0.0	0.0	N/A	((37.3853, -122.1131)-('37.3853', '-122.1131')); ((34.0289, -84.1986)-('34.0289', '-84.1986'))
onmobile	7f6af795-0795-8116-401c-e6ce15a0e03e	6	6	5	5		AU	(-33.7333, 151.3)		AU	(-33.7333, 151.3)	0.0	0.0	0.0	0.0	((-33.7333, 151.3)-('-33.7333', '151.3')); ((42.0428, -88.0797)-('42.0428', '-88.0797')); ((42.5792, -71.4383)-('42.5792', '-71.4383')); ((32.1164, 70.29)-('32.1164', '70.29')); ((38.2325, -122.6356)-('38.2325', '-122.6356')); ((25.45, 81.85)-('25.45', '81.85'))
apple	7063d087-96b8-2cc1-ee88-c221288acc2a	14	14	13	13	CA	US	(37.2872, -121.9489)	CA	US	(37.2872, -121.9489)	0.0	0.0	0.0	0.0	((37.2872, -121.9489)-('37.2872', '-121.9489')); ((32.8156, 34.9892)-('32.8156', '34.9892')); ((30.19, -98.0864)-('30.19', '-98.0864')); ((50.0851, 14.4329)-('50.0851', '14.4329')); ((28.0833, -80.6083)-('28.0833', '-80.6083')); ((40.7608, -111.8903)-('40.7608', '-111.8903')); ((48.15, 11.5833)-('48.15', '11.5833')); ((33.2, -117.2417)-('33.2', '-117.2417')); ((51.9, -2.0833)-('51.9', '-2.0833')); ((39.5186, -104.7608)-('39.5186', '-104.7608')); ((33.3061, -111.8406)-('33.3061', '-111.8406')); ((35.3406, -102.6822)-('35.3406', '-102.6822')); ((50.7147, 4.3991)-('50.7147', '4.3991')); ((49.8855, 36.0668)-('49.8855', '36.0668'))
soitec	7f096a71-de67-7313-a5c6-375323d178e7	4	4	3	3		FR	(45.282, 5.8782)		FR	(45.282, 5.8782)	0.0	0.0	0.0	0.0	((45.282, 5.8782)-('45.282', '5.8782')); ((30.2669, -97.7428)-('30.2669', '-97.7428')); ((47.969, 7.6987)-('47.969', '7.6987')); ((49.3474, 2.681)-('49.3474', '2.681'))
novacap	51c7a7b9-932b-ace8-db1a-d63a4265bd8b	1	1	0	0	IL	US	(41.85, -87.65)	IL	US	(41.85, -87.65)	0.0	0.0	0.0	N/A	((41.85, -87.65)-('41.85', '-87.65'))
ballantyne strong	0bed195a-8823-9551-2cdd-7bc302245cfc	1	1	0	0	GA	US	(33.9561, -83.9881)	GA	US	(33.9561, -83.9881)	0.0	0.0	0.0	N/A	((33.9561, -83.9881)-('33.9561', '-83.9881'))
audiocodes	7011cc24-b44d-f8ad-0fcb-3e405e8729aa	1	1	0	0	TX	US	(32.8139, -96.9486)	TX	US	(32.8139, -96.9486)	0.0	0.0	0.0	N/A	((32.8139, -96.9486)-('32.8139', '-96.9486'))
eli lilly	f9ef7e3e-320c-3e5f-d039-4d11663d6eeb	8	8	7	7	IN	US	(39.9556, -86.0139)	IN	US	(39.9556, -86.0139)	0.0	0.0	0.0	0.0	((39.9556, -86.0139)-('39.9556', '-86.0139')); ((32.7153, -117.1564)-('32.7153', '-117.1564')); ((39.83, -75.4419)-('39.83', '-75.4419')); ((37.6819, -121.7669)-('37.6819', '-121.7669')); ((44.8408, -93.2981)-('44.8408', '-93.2981')); ((47.7575, -122.2428)-('47.7575', '-122.2428')); ((38.5828, -90.6628)-('38.5828', '-90.6628')); ((44.9167, 6.6167)-('44.9167', '6.6167'))
nkt photonics	19e8caf7-9d58-ddf1-77e9-601cd52acebd	1	1	0	0		GB	(51.3794, -2.3656)		GB	(51.3794, -2.3656)	0.0	0.0	0.0	N/A	((51.3794, -2.3656)-('51.3794', '-2.3656'))
citrix systems	52f4bdc1-5c4a-2ccd-837d-133a0a578cda	16	16	15	15	CA	US	(37.3542, -121.9542)	CA	US	(37.3542, -121.9542)	0.0	0.0	0.0	0.0	((37.3542, -121.9542)-('37.3542', '-121.9542')); ((12.9833, 77.5833)-('12.9833', '77.5833')); ((26.1219, -80.1436)-('26.1219', '-80.1436')); ((52.2048, 0.1095)-('52.2048', '0.1095')); ((15.5833, 75.7667)-('15.5833', '75.7667')); ((39.2403, -76.8397)-('39.2403', '-76.8397')); ((40.7608, -111.8903)-('40.7608', '-111.8903')); ((47.9131, -122.0969)-('47.9131', '-122.0969')); ((44.9986, -93.2058)-('44.9986', '-93.2058')); ((32.9128, -117.1538)-('32.9128', '-117.1538')); ((40.6401, 22.9444)-('40.6401', '22.9444')); ((28.35, 79.4167)-('28.35', '79.4167')); ((35.9786, -114.8317)-('35.9786', '-114.8317')); ((26.5833, 86.15)-('26.5833', '86.15')); ((13.1228, 80.2264)-('13.1228', '80.2264')); ((40.1164, -88.2433)-('40.1164', '-88.2433'))
littelfuse	d3d71c2c-a05f-ec6e-2c2e-f6e0ba05fc2c	6	6	5	5	MA	US	(42.125, -71.1028)	UT	US	(41.7356, -111.8336)	3337.1996344744707	0.0	0.0	0.0	((42.125, -71.1028)-('42.125', '-71.1028')); ((41.7356, -111.8336)-('41.7356', '-111.8336')); ((30.9936, -87.8581)-('30.9936', '-87.8581')); ((28.5381, -81.3794)-('28.5381', '-81.3794')); ((37.3542, -121.9542)-('37.3542', '-121.9542')); ((32.7833, -96.8)-('32.7833', '-96.8'))
adobe systems	172a34b4-9edd-b0ae-c768-cbfa8e1ab52c	5	5	4	4	CA	US	(37.3394, -121.8939)	CA	US	(37.3394, -121.8939)	0.0	0.0	0.0	0.0	((37.3394, -121.8939)-('37.3394', '-121.8939')); ((38.9686, -77.3414)-('38.9686', '-77.3414')); ((40.7764, -73.4678)-('40.7764', '-73.4678')); ((32.0667, 34.7667)-('32.0667', '34.7667')); ((40.2339, -111.6578)-('40.2339', '-111.6578'))
ucb pharma	60f447e3-5742-7384-a2b9-6e679deded6b	5	5	4	4		GB	(51.4167, -1.15)		GB	(51.4167, -1.15)	0.0	0.0	0.0	0.0	((51.4167, -1.15)-('51.4167', '-1.15')); ((50.8333, 4.3333)-('50.8333', '4.3333')); ((42.4153, -71.1569)-('42.4153', '-71.1569')); ((32.1164, 70.29)-('32.1164', '70.29')); ((17.3753, 78.4744)-('17.3753', '78.4744'))
bss industrial	38a44286-660c-5aa0-7ee8-cfedaac36af7	2	2	1	1	CA	US	(33.8658, -118.0822)	CA	US	(33.8658, -118.0822)	0.0	0.0	0.0	N/A	((33.8658, -118.0822)-('33.8658', '-118.0822')); ((34.7303, -86.5861)-('34.7303', '-86.5861'))
teleflex	87c58be5-6cef-2a48-fd5a-9a448fe209d3	2	2	1	1	CA	US	(37.5958, -122.0181)	CA	US	(37.5958, -122.0181)	0.0	0.0	0.0	N/A	((37.5958, -122.0181)-('37.5958', '-122.0181')); ((38.9333, -119.9833)-('38.9333', '-119.9833'))
progress	ac1b64f5-4012-c3f9-59c0-1f48f1df3f5c	2	2	1	1	NC	US	(36.0997, -80.2444)	NC	US	(35.7325, -78.8506)	131.99014564627052	65.99507282313526	65.99507282313526	N/A	((36.0997, -80.2444)-('35.7325', '-78.8506')); ((50.9333, 4.3333)-('50.9333', '4.3333'))
genesys	f9ac757a-292b-a2bc-3407-2b0b74a9f2b7	3	3	2	2	CA	US	(37.5842, -122.365)	CA	US	(37.5842, -122.365)	0.0	0.0	0.0	0.0	((37.5842, -122.365)-('37.5842', '-122.365')); ((43.6667, -79.4167)-('43.6667', '-79.4167')); ((12.9714, 80.2472)-('12.9714', '80.2472'))
terumo corporation	4d4a175d-acaa-4249-9a48-b64c5da99d81	1	1	0	0	CO	US	(39.9528, -105.1681)	CO	US	(39.9528, -105.1681)	0.0	0.0	0.0	N/A	((39.9528, -105.1681)-('39.9528', '-105.1681'))
sprint	62a144d3-60f1-4319-ea18-9149ee215ef1	7	7	6	6	VA	US	(38.8903, -77.0844)	VA	US	(38.8903, -77.0844)	0.0	0.0	0.0	0.0	((38.8903, -77.0844)-('38.8903', '-77.0844')); ((38.9822, -94.6706)-('38.9822', '-94.6706')); ((37.3231, -122.0311)-('37.3231', '-122.0311')); ((39.7047, -105.0808)-('39.7047', '-105.0808')); ((41.7606, -88.32)-('41.7606', '-88.32')); ((32.8808, -97.1547)-('32.8808', '-97.1547')); ((27.7728, -82.4078)-('27.7728', '-82.4078'))
ncircle network security	07cbcb6c-cb69-d17d-26f7-47664656a0c9	1	1	0	0	HI	US	(20.8569, -156.3131)	HI	US	(20.8569, -156.3131)	0.0	0.0	0.0	N/A	((20.8569, -156.3131)-('20.8569', '-156.3131'))
astrazeneca	2339d639-581b-690d-668d-f11ad904471d	3	3	2	2		GB	(53.25, -2.1167)		FR	(48.929, 2.0495)	561.4929226138836	0.0	0.0	0.0	((53.25, -2.1167)-('53.25', '-2.1167')); ((48.929, 2.0495)-('48.929', '2.0495')); ((41.175, -93.235)-('41.175', '-93.235'))
red bend software	0ab2ea02-b435-3c93-2a23-02c32bc58e08	1	1	0	0		FR	(48.7664, 2.034)		FR	(48.7664, 2.034)	0.0	0.0	0.0	N/A	((48.7664, 2.034)-('48.7664', '2.034'))
general electric (ge)	1f2d7988-b461-f905-b8ab-c9a773063bd7	32	32	31	31	NY	US	(42.6525, -73.7567)	TX	US	(30.3117, -95.4558)	2364.7637070703145	0.0	0.0	0.0	((42.6525, -73.7567)-('42.6525', '-73.7567')); ((38.9414, -119.7486)-('38.9414', '-119.7486')); ((30.3117, -95.4558)-('30.3117', '-95.4558')); ((60.1859, 24.9216)-('60.1859', '24.9216')); ((37.3689, -122.0353)-('37.3689', '-122.0353')); ((40.3892, -74.7622)-('40.3892', '-74.7622')); ((40.1261, -82.9292)-('40.1261', '-82.9292')); ((47.6817, -122.2075)-('47.6817', '-122.2075')); ((31.0456, 121.3997)-('31.0456', '121.3997')); ((32.3861, -94.8756)-('32.3861', '-94.8756')); ((12.9833, 77.5833)-('12.9833', '77.5833')); ((34.8525, -82.3942)-('34.8525', '-82.3942')); ((42.1292, -80.0853)-('42.1292', '-80.0853')); ((35.6528, -97.4778)-('35.6528', '-97.4778')); ((33.8839, -84.5144)-('33.8839', '-84.5144')); ((52.1608, 5.9655)-('52.1608', '5.9655')); ((55.2083, -2.0784)-('55.2083', '-2.0784')); ((30.3569, -87.1639)-('30.3569', '-87.1639')); ((57.148, -2.1002)-('57.148', '-2.1002')); ((42.725, -70.9917)-('42.725', '-70.9917')); ((45.6797, -111.0378)-('45.6797', '-111.0378')); ((15.5833, 75.7667)-('15.5833', '75.7667')); ((42.9633, -85.6681)-('42.9633', '-85.6681')); ((59.9176, 10.5876)-('59.9176', '10.5876')); ((53.3634, -6.2346)-('53.3634', '-6.2346')); ((31.95, 35.9333)-('31.95', '35.9333')); ((48.3333, 12.3667)-('48.3333', '12.3667')); ((61.0667, 28.1833)-('61.0667', '28.1833')); ((38.3239, -77.4686)-('38.3239', '-77.4686')); ((45.1231, -92.5364)-('45.1231', '-92.5364')); ((43.9, -78.8)-('43.9', '-78.8')); ((52.8067, -2.1207)-('52.8067', '-2.1207'))
align technology	05e9e680-5490-97da-2774-fda8e48be7ef	7	7	6	6	CA	US	(37.775, -122.4183)		IL	(38.3167, -0.8167)	9658.09447480647	0.0	0.0	0.0	((37.775, -122.4183)-('37.775', '-122.4183')); ((38.3167, -0.8167)-('38.3167', '-0.8167')); ((31.9321, 34.8013)-('31.9321', '34.8013')); ((55.5973, 38.1774)-('55.5973', '38.1774')); ((43.6709, -79.3915)-('43.6709', '-79.3915')); ((34.1478, -118.1436)-('34.1478', '-118.1436')); ((-22.4, -45.8833)-('-22.4', '-45.8833'))
livanova	8014abd1-ab58-0cec-579a-a74843e0746f	1	1	0	0	WA	US	(47.6106, -122.1994)	WA	US	(47.6106, -122.1994)	0.0	0.0	0.0	N/A	((47.6106, -122.1994)-('47.6106', '-122.1994'))
siemens ag	8483fc50-b82d-5ffa-5f92-6c72ac4bdaff	21	21	20	20	PA	US	(40.0289, -75.6211)	CA	US	(37.3689, -122.0353)	3993.1024776636855	0.0	0.0	0.0	((40.0289, -75.6211)-('40.0289', '-75.6211')); ((37.3689, -122.0353)-('37.3689', '-122.0353')); ((47.6064, -122.3308)-('47.6064', '-122.3308')); ((50.7708, 6.1053)-('50.7708', '6.1053')); ((41.85, -87.65)-('41.85', '-87.65')); ((45.3567, -122.8389)-('45.3567', '-122.8389')); ((42.8125, -70.8778)-('42.8125', '-70.8778')); ((42.0853, -83.6825)-('42.0853', '-83.6825')); ((33.8658, -118.0822)-('33.8658', '-118.0822')); ((31.7829, 34.981)-('31.7829', '34.981')); ((34.7303, -86.5861)-('34.7303', '-86.5861')); ((28.7041, 77.1025)-('28.7041', '77.1025')); ((44.4906, -73.1114)-('44.4906', '-73.1114')); ((35.9606, -83.9208)-('35.9606', '-83.9208')); ((49.7, 11)-('49.7', '11')); ((12.9833, 77.5833)-('12.9833', '77.5833')); ((42.2231, -78.0347)-('42.2231', '-78.0347')); ((33.7592, -96.6692)-('33.7592', '-96.6692')); ((53.1032, 7.2547)-('53.1032', '7.2547')); ((52.4965, 13.4137)-('52.4965', '13.4137')); ((39.9208, 32.8541)-('39.9208', '32.8541'))
ibm	fc5fbe7a-562d-d577-b05e-46797caa134c	2	2	1	1		IL	(31.8108, 35.1204)		IL	(31.8108, 35.1204)	0.0	0.0	0.0	N/A	((31.8108, 35.1204)-('31.8108', '35.1204')); ((44.8114, -91.4983)-('44.8114', '-91.4983'))
bio-rad laboratories	68069d7a-9608-050d-90be-9fd3d3df34a2	2	2	1	1		FR	(44.8101, -0.6413)		FR	(44.8101, -0.6413)	0.0	0.0	0.0	N/A	((44.8101, -0.6413)-('44.8101', '-0.6413')); ((48.857, 0.4576)-('48.857', '0.4576'))
