company	id	M1_num_clusters	M2_num_clusters	M1_num_remote_clusters	M2_num_remote_clusters	M1_HQ_state	M1_HQ_country	M1_HQ_coordinates	M2_HQ_state	M2_HQ_country	M2_HQ_coordinates	HQ1-HQ2_distance	average_cluster_distance	median_cluster_distance	sd	pairs
hg	855a0a1b-c53f-68f1-fa75-c06e14fa0de1	7	7	6	6		CA	(48.95, -55.6667)		CA	(48.95, -55.6667)	0.0	0.0	0.0	0.0	((48.95, -55.6667)-('48.95', '-55.6667')); ((48.1518, 11.5707)-('48.1518', '11.5707')); ((42.3167, -82.9)-('42.3167', '-82.9')); ((38.5471, -122.8164)-('38.5471', '-122.8164')); ((44.4333, 26.1)-('44.4333', '26.1')); ((31.0456, 121.3997)-('31.0456', '121.3997')); ((45.42, -73.64)-('45.42', '-73.64'))
kibo software	993fb694-143b-b390-6741-182f56f999b4	1	1	0	0	CA	US	(35.2828, -120.6586)	CA	US	(35.2828, -120.6586)	0.0	0.0	0.0	N/A	((35.2828, -120.6586)-('35.2828', '-120.6586'))
curtiss-wright	d11014f0-f87f-a5c2-ce48-1b9d66bd8e4a	3	3	2	2	UT	US	(40.6097, -111.9383)	UT	US	(40.6097, -111.9383)	0.0	0.0	0.0	0.0	((40.6097, -111.9383)-('40.6097', '-111.9383')); ((40.3014, -79.5392)-('40.3014', '-79.5392')); ((40.7492, -73.6411)-('40.7492', '-73.6411'))
united therapeutics	ae16082d-b9f8-b42c-1ecc-c4b125321d1b	1	1	0	0	MA	US	(42.485, -71.4333)	MA	US	(42.485, -71.4333)	0.0	0.0	0.0	N/A	((42.485, -71.4333)-('42.485', '-71.4333'))
celgene	5f6b3568-a8a8-e215-fda7-80d13d8f91ca	8	8	7	7	NJ	US	(40.8578, -74.4264)	NJ	US	(40.8578, -74.4264)	0.0	0.0	0.0	0.0	((40.8578, -74.4264)-('40.8578', '-74.4264')); ((32.7153, -117.1564)-('32.7153', '-117.1564')); ((17.3753, 78.4744)-('17.3753', '78.4744')); ((37.775, -122.4183)-('37.775', '-122.4183')); ((34.2244, -119.0125)-('34.2244', '-119.0125')); ((52.95, -1.1167)-('52.95', '-1.1167')); ((37.2386, -76.51)-('37.2386', '-76.51')); ((22.2833, 114.15)-('22.2833', '114.15'))
ball corporation	d310b67f-3a94-e0ea-51cc-5eb263bbafa1	1	1	0	0		DE	(50.5804, 7.0509)		DE	(50.5804, 7.0509)	0.0	0.0	0.0	N/A	((50.5804, 7.0509)-('50.5804', '7.0509'))
polycom	2ab62f32-2ccf-22c2-b48a-3c3194923424	1	1	0	0	MA	US	(42.725, -70.9917)	MA	US	(42.725, -70.9917)	0.0	0.0	0.0	N/A	((42.725, -70.9917)-('42.725', '-70.9917'))
johnson & johnson	71213bcb-9569-a838-3d0b-e99ba6afe9cb	3	3	2	2	CA	US	(33.6083, -117.7444)	CA	US	(33.6083, -117.7444)	0.0	0.0	0.0	0.0	((33.6083, -117.7444)-('33.6083', '-117.7444')); ((37.3231, -122.0311)-('37.3231', '-122.0311')); ((40.8067, -74.1858)-('40.8067', '-74.1858'))
hyundai motor company	271e1bf5-086a-dbb8-9806-b76a591b864e	10	10	9	9		KR	(36.1773, 127.3515)		KR	(36.1773, 127.3515)	0.0	0.0	0.0	0.0	((36.1773, 127.3515)-('36.1773', '127.3515')); ((37.5196, 128.8875)-('37.5196', '128.8875')); ((34.4156, 126.3286)-('34.4156', '126.3286')); ((42.3086, -83.4822)-('42.3086', '-83.4822')); ((27.9213, 116.4974)-('27.9213', '116.4974')); ((35.8348, 140.1636)-('35.8348', '140.1636')); ((38.9, 125.9167)-('38.9', '125.9167')); ((52.2721, 8.8618)-('52.2721', '8.8618')); ((43.6898, 0.7731)-('43.6898', '0.7731')); ((34.0564, -118.2913)-('34.0564', '-118.2913'))
clarcor	bd87ce1e-a7c8-0842-3d5f-24276598ba95	1	1	0	0	CT	US	(41.8822, -72.9775)	CT	US	(41.8822, -72.9775)	0.0	0.0	0.0	N/A	((41.8822, -72.9775)-('41.8822', '-72.9775'))
