company_name	id	number_of_inventors	number_of_local_inventors	number_of_remote_inventors	number_of_clusters (local+remote)	radius_local	radius_remote	local_cluster	nonlocal_cluster	remote_cluster
medtronic	8352004	4	2	2	3	70	70	{'number_of_inventors_in_cluster': 2, 'locations': '(37.3842 -122.2342); (37.8217 -121.9989)', 'center_lat': 37.3842, 'center_lng': -122.2342, 'state': 'CA', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 'N/A'}	N/A	[{'number_of_inventors_in_cluster': 1, 'locations': '(37.3139 -121.0197)', 'center_lat': 37.3139, 'center_lng': -121.0197, 'state': 'CA', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 107.63906474100035}, {'number_of_inventors_in_cluster': 1, 'locations': '(44.8547 -93.4706)', 'center_lat': 44.8547, 'center_lng': -93.4706, 'state': 'MN', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 2532.8194620526133}]
medtronic	8357157	3	3	0	1	70	70	{'number_of_inventors_in_cluster': 3, 'locations': '(37.3394 -121.8939); (37.4539 -122.1811); (37.3394 -121.8939)', 'center_lat': 37.3394, 'center_lng': -121.8939, 'state': 'CA', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 'N/A'}	N/A	N/A
medtronic	8361061	5	5	0	1	70	70	{'number_of_inventors_in_cluster': 5, 'locations': '(37.3394 -121.8939); (37.3394 -121.8939); (37.4539 -122.1811); (37.3394 -121.8939); (37.3394 -121.8939)', 'center_lat': 37.3394, 'center_lng': -121.8939, 'state': 'CA', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 'N/A'}	N/A	N/A
medtronic	8372014	6	5	1	2	70	70	{'number_of_inventors_in_cluster': 5, 'locations': '(41.42 -73.2825); (41.3958 -72.8972); (41.8083 -72.25); (41.9761 -72.5922); (41.3908 -72.86)', 'center_lat': 41.3908, 'center_lng': -72.86, 'state': 'CT', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 'N/A'}	N/A	[{'number_of_inventors_in_cluster': 1, 'locations': '(33.8492 -118.3875)', 'center_lat': 33.8492, 'center_lng': -118.3875, 'state': 'CA', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 4048.664020259525}]
medtronic	8386010	2	1	1	2	70	70	{'number_of_inventors_in_cluster': 1, 'locations': '(41.42 -73.2825)', 'center_lat': 41.42, 'center_lng': -73.2825, 'state': 'CT', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 'N/A'}	N/A	[{'number_of_inventors_in_cluster': 1, 'locations': '(37.4853 -122.2353)', 'center_lat': 37.4853, 'center_lng': -122.2353, 'state': 'CA', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 4169.791320875937}]
medtronic	8403197	4	4	0	1	70	70	{'number_of_inventors_in_cluster': 4, 'locations': '(34.4208 -119.6972); (34.4358 -119.8267); (34.4208 -119.6972); (34.4358 -119.8267)', 'center_lat': 34.4208, 'center_lng': -119.6972, 'state': 'CA', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 'N/A'}	N/A	N/A
medtronic	8414604	7	6	1	2	70	70	{'number_of_inventors_in_cluster': 6, 'locations': '(37.3394 -121.8939); (37.3394 -121.8939); (37.4539 -122.1811); (37.5072 -122.2594); (37.4539 -122.1811); (37.4419 -122.1419)', 'center_lat': 37.3394, 'center_lng': -121.8939, 'state': 'CA', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 'N/A'}	N/A	[{'number_of_inventors_in_cluster': 1, 'locations': '(38.6447 -121.2711)', 'center_lat': 38.6447, 'center_lng': -121.2711, 'state': 'CA', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 155.06363374609313}]
medtronic	8443294	3	2	1	2	70	70	{'number_of_inventors_in_cluster': 2, 'locations': '(32.7153 -117.1564); (32.5839 -117.1122)', 'center_lat': 32.7153, 'center_lng': -117.1564, 'state': 'CA', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 'N/A'}	N/A	[{'number_of_inventors_in_cluster': 1, 'locations': '(32.7833 -96.8)', 'center_lat': 32.7833, 'center_lng': -96.8, 'state': 'TX', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 1900.7903219653717}]
medtronic	8535290	6	6	0	1	70	70	{'number_of_inventors_in_cluster': 6, 'locations': '(37.4419 -122.1419); (37.4419 -122.1419); (37.2267 -121.9736); (37.2872 -121.9489); (37.4419 -122.1419); (37.4419 -122.1419)', 'center_lat': 37.4419, 'center_lng': -122.1419, 'state': 'CA', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 'N/A'}	N/A	N/A
medtronic	8545447	6	5	1	2	70	70	{'number_of_inventors_in_cluster': 5, 'locations': '(37.4419 -122.1419); (37.3689 -122.0353); (37.2267 -121.9736); (37.3689 -122.0353); (37.4419 -122.1419)', 'center_lat': 37.4419, 'center_lng': -122.1419, 'state': 'CA', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 'N/A'}	N/A	[{'number_of_inventors_in_cluster': 1, 'locations': '(34.0522 -118.2428)', 'center_lat': 34.0522, 'center_lng': -118.2428, 'state': 'CA', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 515.5357615925586}]
medtronic	8562673	8	8	0	1	70	70	{'number_of_inventors_in_cluster': 8, 'locations': '(38.4406 -122.7133); (38.4406 -122.7133); (38.4406 -122.7133); (38.4406 -122.7133); (38.4406 -122.7133); (38.4406 -122.7133); (38.4406 -122.7133); (37.9736 -122.53)', 'center_lat': 38.4406, 'center_lng': -122.7133, 'state': 'CA', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 'N/A'}	N/A	N/A
