company_name	id	number_of_inventors	number_of_local_inventors	number_of_remote_inventors	number_of_clusters (local+remote)	radius_local	radius_remote	local_cluster	nonlocal_cluster	remote_cluster
azbil corp	18559d45-1d43-6e73-b186-a42d27c85802	1	1	0	1	200	200	{'number_of_inventors_in_cluster': 1, 'locations': '(32.2217 -110.9258)', 'center_lat': 32.2217, 'center_lng': -110.9258, 'state': 'AZ', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 'N/A'}	N/A	N/A
macrogenics	91efe631-e7e0-4dfa-1f5e-5f101dd2d765	24	18	6	2	200	200	{'number_of_inventors_in_cluster': 18, 'locations': '(39.0444 -77.1192); (39.1033 -77.2911); (38.9806 -77.1006); (39.0444 -77.1192); (39.1033 -77.2911); (38.9806 -77.1006); (39.0444 -77.1192); (39.1033 -77.2911); (38.9806 -77.1006); (39.0444 -77.1192); (39.1033 -77.2911); (38.9806 -77.1006); (39.0444 -77.1192); (39.1033 -77.2911); (38.9806 -77.1006); (39.0828 -77.2653); (39.1033 -77.2911); (38.9806 -77.1006)', 'center_lat': 39.0444, 'center_lng': -77.1192, 'state': 'MD', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 'N/A'}	N/A	[{'number_of_inventors_in_cluster': 6, 'locations': '(37.775 -122.4183); (37.775 -122.4183); (37.775 -122.4183); (37.775 -122.4183); (37.775 -122.4183); (37.775 -122.4183)', 'center_lat': 37.775, 'center_lng': -122.4183, 'state': 'CA', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 3908.1539992588764}]
