cluster_id	company_id	company	patent_id	local_radius	remote_radius	number_of_inventors	locations	center_lat	center_lng	state	country	geographical_relationship	haversine_distance_to_local
34	002e7723-ca64-a785-590c-198524743de5	raven biotechnologies	7790855	70	70	3	(37.5631 -122.3244); (37.5203 -122.2747); (37.6625 -121.8736)	37.5631	-122.3244	CA	US	domestic	N/A
35	002e7723-ca64-a785-590c-198524743de5	raven biotechnologies	7846726	70	70	2	(37.5986 -122.3861); (37.5986 -122.3861)	37.5986	-122.3861	CA	US	domestic	N/A
36	002e7723-ca64-a785-590c-198524743de5	raven biotechnologies	7847070	70	70	2	(37.5986 -122.3861); (37.5986 -122.3861)	37.5986	-122.3861	CA	US	domestic	N/A
37	002e7723-ca64-a785-590c-198524743de5	raven biotechnologies	8137668	70	70	1	(37.5986 -122.3861)	37.5986	-122.3861	CA	US	domestic	N/A
38	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7316507	70	70	3	(38.8106 -90.6997); (38.5581 -91.0119); (38.7483 -89.9831)	38.8106	-90.6997	MO	US	domestic	N/A
39	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7354194	70	70	3	(38.5506 -90.3331); (38.627 -90.1994); (38.627 -90.1994)	38.5506	-90.3331	MO	US	domestic	N/A
40	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7354194	70	70	1	(41.9142 -88.3087)	41.9142	-88.3087	MO	US	domestic	411.57266176098904
41	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7361159	70	70	2	(38.6631 -90.5769); (38.5833 -90.4067)	38.6631	-90.5769	MO	US	domestic	N/A
42	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7361159	70	70	1	(37.8672 -90.5931)	37.8672	-90.5931	MO	US	domestic	88.51134235388773
43	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7361159	70	70	1	(42.1236 -72.4319)	42.1236	-72.4319	MA	US	domestic	1580.7506107836089
44	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7364049	70	70	1	(42.1681 -88.4281)	42.1681	-88.4281	IL	US	domestic	N/A
45	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7402620	70	70	1	(38.7714 -90.3708)	38.7714	-90.3708	MO	US	domestic	N/A
46	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7434991	70	70	2	(38.815 -90.9558); (38.627 -90.1994)	38.815	-90.9558	MO	US	domestic	N/A
47	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7435249	70	70	6	(40.1672 -105.1014); (39.9778 -105.1314); (39.9528 -105.1681); (40.015 -105.27); (40.1672 -105.1014); (40.0503 -105.0494)	40.1672	-105.1014	CO	US	domestic	N/A
48	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7442193	70	70	1	(40.015 -105.27)	40.015	-105.27	CO	US	domestic	N/A
49	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7442193	70	70	1	(40.8689 -73.3656)	40.8689	-73.3656	NY	US	domestic	2686.633282162968
50	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7442194	70	70	5	(39.7392 -104.9842); (40.015 -105.27); (40.2247 -105.2708); (40.1672 -105.1014); (40.015 -105.27)	39.7392	-104.9842	CO	US	domestic	N/A
51	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7443175	70	70	2	(39.9614 -105.5103); (40.015 -105.27)	39.9614	-105.5103	CO	US	domestic	N/A
52	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7445621	70	70	5	(39.7392 -104.9842); (40.015 -105.27); (40.2247 -105.2708); (40.1672 -105.1014); (40.015 -105.27)	39.7392	-104.9842	CO	US	domestic	N/A
53	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7447566	70	70	2	(38.8106 -90.6997); (38.8106 -90.6997)	38.8106	-90.6997	MO	US	domestic	N/A
54	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7458972	70	70	1	(40.1672 -105.1014)	40.1672	-105.1014	CO	US	domestic	N/A
55	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7462170	70	70	5	(38.815 -90.9558); (38.5506 -90.3331); (38.4086 -89.9919); (38.5581 -91.0119); (38.627 -90.1994)	38.5506	-90.3331	MO	US	domestic	N/A
56	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7467075	70	70	2	(40.1672 -105.1014); (40.015 -105.27)	40.1672	-105.1014	CO	US	domestic	N/A
